,mean,var,scale
0,3.6501534,4.191372,2.0472841
1,2.1349492,1.0854924,1.0418696
2,0.22419277,0.31026044,0.5570103
3,0.8567023,0.14995354,0.38723835
4,0.05569377,0.14617977,0.38233462
5,0.5219901,0.12609693,0.3551013
6,0.11104191,0.092501156,0.30414003
7,0.041464195,0.09145194,0.30241022
8,0.04833299,0.050623663,0.22499703
9,0.13225688,0.036540985,0.19115697
10,-0.014046521,0.045407686,0.21309079
11,0.021319978,0.040604938,0.20150667
12,-0.0057247053,0.03089367,0.17576595
13,0.0039322176,0.030029008,0.1732888
14,-0.09138038,0.024666453,0.15705557
15,0.035382025,0.028354866,0.16838904
16,-0.0017275915,0.020920621,0.14463963
17,-0.01982998,0.020964848,0.14479244
18,-0.0075049484,0.017011143,0.13042678
19,-0.024653358,0.016097054,0.12687416
20,0.05596761,0.01893311,0.13759764
21,-0.0223149,0.015071005,0.12276402
22,-0.0706357,0.0150815565,0.12280699
23,0.007199194,0.013936563,0.11805322
24,-0.025802938,0.011704155,0.108185746
25,-0.026368696,0.01084394,0.10413424
26,-0.0024607526,0.01111109,0.10540915
27,-0.0123089375,0.0102317855,0.101152286
28,-0.006221131,0.008921276,0.09445251
29,0.018403012,0.009209687,0.095967114
30,-0.01943694,0.007835092,0.08851606
31,0.021442676,0.0076582273,0.0875113
32,-0.021196505,0.006816796,0.08256389
33,0.008298303,0.006113238,0.0781872
34,-0.002591871,0.005904429,0.07684028
35,-0.0038736018,0.0058806245,0.07668523
36,-0.0013497451,0.0055313967,0.07437336
37,0.006959081,0.0052198763,0.07224871
38,-0.006976063,0.004889879,0.06992767
39,0.020766981,0.0046801833,0.068411864
40,-0.0155474655,0.0046794885,0.06840679
41,0.011434652,0.0043719965,0.06612107
42,-0.013169608,0.0042269086,0.06501468
43,0.008358854,0.0039491965,0.06284263
44,-0.0060537485,0.0037660429,0.061368093
45,0.004510296,0.003645176,0.06037529
46,-0.003911782,0.0036291336,0.06024229
47,0.003707232,0.0035709366,0.059757315
48,-0.0052831485,0.0034826796,0.05901423
49,0.0047257696,0.003379911,0.058137003
50,-0.0024953177,0.003257108,0.05707108
51,0.004455643,0.0031782405,0.056375887
52,-0.0025310132,0.0030899507,0.055587325
53,0.0019679565,0.0030534007,0.055257585
54,0.0005013049,0.002966716,0.054467566
55,0.0011876859,0.0027926287,0.05284533
56,0.00026124634,0.002701779,0.05197864
57,0.0014193051,0.002583731,0.050830413
58,-0.00065825664,0.0024829952,0.04982966
59,-0.0004391048,0.0023715335,0.04869839
60,-0.0016473889,0.12367078,0.35166857
61,-0.00028128698,0.031977806,0.1788234
62,0.0003000692,0.02521441,0.15879045
63,-0.00018927705,0.011748031,0.108388335
64,0.00017896057,0.012875142,0.113468684
65,-4.730529e-05,0.00953494,0.09764702
66,0.00013705449,0.009125073,0.09552525
67,-3.3346336e-05,0.008682738,0.09318121
68,2.9488192e-05,0.006718802,0.0819683
69,-4.647229e-05,0.0058116973,0.07623449
70,-2.8762142e-06,0.0059641367,0.07722782
71,-1.5166401e-05,0.005559356,0.07456109
72,-6.572109e-05,0.0049466407,0.070332356
73,-6.017949e-06,0.004872657,0.06980442
74,-1.1682952e-05,0.0045417077,0.06739219
75,-6.965679e-05,0.0043365113,0.065852195
76,-1.818529e-05,0.0039090607,0.06252248
77,-1.2167111e-05,0.0037234805,0.06102033
78,1.9956784e-05,0.0034352369,0.058610894
79,5.2090977e-06,0.0032999364,0.05744507
80,-1.5448275e-05,0.003112734,0.05579188
81,-1.2275652e-06,0.0028583028,0.053463098
82,2.0695346e-05,0.0027593416,0.052529436
83,2.2485996e-05,0.0025949087,0.050940245
84,1.7504155e-05,0.0024330432,0.049325887
85,8.441612e-06,0.0022933886,0.047889337
86,-4.823064e-06,0.0022228188,0.04714678
87,2.4392935e-05,0.0021011885,0.045838725
88,5.5185287e-06,0.0019815015,0.04451406
89,-1.3045894e-05,0.0019075683,0.043675717
90,3.3401466e-06,0.0018090233,0.042532615
91,8.846148e-06,0.0017431038,0.041750494
92,6.5284953e-06,0.0016576027,0.040713668
93,-9.773854e-06,0.0015827962,0.03978437
94,6.7686085e-07,0.0015219039,0.039011586
95,1.04822075e-05,0.0014671559,0.038303472
96,-5.0264106e-07,0.0014055982,0.03749131
97,-6.0458194e-07,0.0013503431,0.036747016
98,1.1474056e-05,0.0013063543,0.036143523
99,-9.77227e-06,0.0012556448,0.03543508
100,2.7868025e-06,0.0012115475,0.03480729
101,-2.884192e-06,0.0011611808,0.034076102
102,6.563e-06,0.0011237198,0.03352193
103,-5.673772e-07,0.001083904,0.032922696
104,-5.189407e-06,0.0010447375,0.0323224
105,2.6070647e-06,0.0010090853,0.0317661
106,2.7098602e-06,0.0009828091,0.031349786
107,-6.988655e-06,0.0009540611,0.03088788
108,4.5450006e-06,0.0009244195,0.030404268
